
Perfect Digital Audio Extraction



Each CD drive reads audio discs slightly out (a number of samples), if your CD drive supports 'Accurate Stream' it will be a constant value, this value tends to be the same for each particular make and model of CD Drive. A small number of drives have [Purged] as the offset, these drives were found not to have a constant drive offset (perhaps different manufacturing batches, or firmwares), as such they have been removed from AccurateRip's drive database (should you have one of these drives, 3 matching key disks will be required to configure AccurateRip).?
This list contains submitted drive read offsets in a format compatible with dBpowerAMP Music Converter (dMC) and Exact Audio Copy (EAC). Contribute your offset by easily configuring AccurateRip on your CD drives - www.accuraterip.com?

Information: JLMS drives are listed as Lite-ON,?? HL-DT-ST as LG Electronics? &? Matshita as Panasonic

CD Drive	Correction Offset	Submitted By	Percentage Agree
BTC - BCE3212IM	+12	6	100%
BTC - BCE4012IM	+12	8	100%
BTC - BCE4816IM	+12	1	100%
BTC - BCO4016IM	+6	2	100%
BTC - BDV-316E	0	41	100%
BTC - CD-ROM F523E	+12	8	100%
BUFFALO - Optical Drive	+103	12	50%
CD-956B	+12	1	100%
CD-R-RW - 52X24X52X	+97	1	100%
CD-R-RW - CW079D CD-R-RW	+12	1	100%
CD-R-RW - CW088D CD-R-RW	+733	1	100%
CD-R-RW - CW089D CD-R-RW	+12	1	100%
CD-R-RW - CW099D CD-R-RW	+6	10	100%
CD-ROM - 52X-B0	+12	1	100%
CD-ROM - CCD-52X6S	+600	10	100%
CD-ROM - Drive-F5A	+12	3	100%
CD-ROM - Drive-F5B	+12	9	100%
CD-ROM - Drive-F5D	+12	6	100%
CD-ROM - Drive-F5E	+12	16	100%
CD-ROM - Drive-G6D	+12	7	100%
CD-ROM - F565E	+12	10	100%
CD-ROM - GO-C5200E	+12	1	100%
CD-RW - 52X32-L0	+6	1	100%
CD-RW - CDR-2440MB	+12	1	100%
CD-RW - CDR-5S40	+12	5	100%
CD-RW - CDR-5W40	+12	1	100%
CD-RW - CDR-5W48	+12	9	100%
CD-RW - CDR-6S48	+6	4	100%
CD-RW - CDR-6S52	+6	24	100%
CD-RW - CDR-7S52	+6	12	100%
CD-RW - CDR-8S52	+6	3	100%
CD-RW - CDR-9V52	+6	7	100%
CD-RW - CXR-3X40	+6	1	100%
CD-RW - DX-ECDRW100	+6	6	100%
CD-RW - GO-R5232B	+6	2	100%
CDRW - 52X32X	+6	7	100%
CDRW - USB5232	+6	2	100%
CDWRITER - IDE1610	+12	6	100%
